상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
11927910,흥부네대박닭강정난곡점,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11620,관악구,1162071500,난향동,1162010200,신림동,1162010200106670017,1,대지,667,17,서울특별시 관악구 신림동 667-17,116203120003,서울특별시 관악구 난곡로,87,,1162010200106680000009515,,서울특별시 관악구 난곡로 87,151015,08859,,1,,126.918787821105,37.4632057701891
11928045,또봉이통닭동산남부점,동산남부점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,45,전라북도,45140,익산시,4514057000,동산동,4514011100,동산동,4514011100106090031,1,대지,609,31,전라북도 익산시 동산동 609-31,451404608304,전라북도 익산시 평동로12길,21,,4514011100106090031083264,,전라북도 익산시 평동로12길 21,570959,54676,,1,,126.958748004124,35.9271437349077
11928103,원조옛날통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,44,충청남도,44150,공주시,4415051000,중학동,4415010400,중동,4415010400100010003,1,대지,1,3,충청남도 공주시 중동 1-3,441503251013,충청남도 공주시 무령로,274,,4415010400100010003753599,,충청남도 공주시 무령로 274,314050,32562,,1,,127.13010082465,36.4556887869483
11928271,해피오네치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41465,용인시 수지구,4146556000,동천동,4146510300,동천동,4146510300108830007,1,대지,883,7,경기도 용인시 수지구 동천동 883-7,414654415048,경기도 용인시 수지구 문인로54번길,7,,4146510300108830007027115,,경기도 용인시 수지구 문인로54번길 7,448504,16828,,1,,127.096606428907,37.3337548197113
11928279,옛날통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41287,고양시 일산서구,4128751000,일산1동,4128710100,일산동,4128710100109660074,1,대지,966,74,경기도 고양시 일산서구 일산동 966-74,412873194019,경기도 고양시 일산서구 원일로,23,,4128710100109660074003593,,경기도 고양시 일산서구 원일로 23,411310,10348,,1,,126.765010126455,37.6873508803679
11928346,깐부치킨,죽전새터내대지점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41465,용인시 수지구,4146554000,죽전1동,4146510200,죽전동,4146510200111880001,1,대지,1188,1,경기도 용인시 수지구 죽전동 1188-1,414653205022,경기도 용인시 수지구 현암로,153,,4146510200111880001027753,건영타운,경기도 용인시 수지구 현암로 153,448160,16876,,,,127.126407658862,37.3319421591449
11928400,치킨조이,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,29,광주광역시,29200,광산구,2920070000,신창동,2920011800,신창동,2920011800112220006,1,대지,1222,6,광주광역시 광산구 신창동 1222-6,292004289396,광주광역시 광산구 신창로72번길,10,15,2920011800112220006045682,,광주광역시 광산구 신창로72번길 10-15,506841,62252,,1,,126.838083458264,35.1913314770652
11928583,호식이두마리치킨개포1호점,개포1호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11680,강남구,1168069000,개포4동,1168010300,개포동,1168010300111770000,1,대지,1177,,서울특별시 강남구 개포동 1177,116804166204,서울특별시 강남구 논현로8길,50,,1168010300101770000020970,,서울특별시 강남구 논현로8길 50,135240,06314,,1,,127.052776969964,37.4746188698975
11928677,쌀민족쌀통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41465,용인시 수지구,4146558000,상현2동,4146510700,상현동,4146510700100660009,1,대지,66,9,경기도 용인시 수지구 상현동 66-9,414653205005,경기도 용인시 수지구 만현로,88,,4146510700100660009027439,상현종합상가,경기도 용인시 수지구 만현로 88,448130,16930,,1,,127.085113399254,37.3090578604047
11928764,치킨하우스,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41133,성남시 중원구,4113357000,상대원1동,4113310500,상대원동,4113310500100710001,1,대지,71,1,경기도 성남시 중원구 상대원동 71-1,411333179014,경기도 성남시 중원구 순환로,234,,4113310500100710001059804,,경기도 성남시 중원구 순환로 234,462120,13205,,1,,127.179412355416,37.4447225427694
11928772,그집마늘치킨,장천점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,47,경상북도,47190,구미시,4719036000,장천면,4719036021,장천면,4719036021107070008,1,대지,707,8,경상북도 구미시 장천면 상장리 707-8,471903305003,경상북도 구미시 장천면 강동로,163,,4719036021107070008073516,,경상북도 구미시 장천면 강동로 163,730843,39454,,,,128.49549782398,36.1242725804201
11929020,호식이두마리치킨,송림점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28140,동구,2814058000,송림1동,2814010700,송림동,2814010700102270007,1,대지,227,7,인천광역시 동구 송림동 227-7,281403150037,인천광역시 동구 송림로,59,,2814010700102270007032241,,인천광역시 동구 송림로 59,401070,22542,,,,126.641338632853,37.4749560193084
11929050,수동착한통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41360,남양주시,4136034000,수동면,4136034021,수동면,4136034021100900004,1,대지,90,4,경기도 남양주시 수동면 운수리 90-4,413603197032,경기도 남양주시 수동면 비룡로,750,,4136034021100890002000001,,경기도 남양주시 수동면 비룡로 750,472852,12031,,1,,127.32639474784,37.705328407085
11929066,BHC치킨,산호야구장점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48125,창원시 마산합포구,4812565000,산호동,4812511800,산호동,4812511800100260057,1,대지,26,57,경상남도 창원시 마산합포구 산호동 26-57,481254787330,경상남도 창원시 마산합포구 산호북15길,35,,4812511800100260057020643,,경상남도 창원시 마산합포구 산호북15길 35,631852,51328,,1,,128.583095740912,35.2191910321841
11929081,훌리네다리치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41250,동두천시,4125056500,불현동,4125010200,지행동,4125010200102860000,1,대지,286,,경기도 동두천시 지행동 286,412503189026,경기도 동두천시 지행로,104,,4125010200102860000008995,,경기도 동두천시 지행로 104,483020,11363,,1,,127.05892159358,37.8923492308577
11929447,치킨스토리,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26470,연제구,2647067000,연산3동,2647010200,연산동,2647010200118110244,1,대지,1811,244,부산광역시 연제구 연산동 1811-244,264704211128,부산광역시 연제구 금련로12번길,17,,2647010200118110244003480,,부산광역시 연제구 금련로12번길 17,611080,47614,,,,129.095243237613,35.1728524844134
11929512,닭킬러숯불바베큐,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28177,미추홀구,2817757000,용현5동,2817710200,용현동,2817710200106270364,1,대지,627,364,인천광역시 미추홀구 용현동 627-364,281774253116,인천광역시 미추홀구 낙섬서로18번길,5,,2817010200106270364000001,,인천광역시 미추홀구 낙섬서로18번길 5,402834,22190,5,1,,126.634783602233,37.4512194784295
11929749,BBQ치킨,대전전민점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,30,대전광역시,30200,유성구,3020057000,전민동,3020014100,전민동,3020014100103270023,1,대지,327,23,대전광역시 유성구 전민동 327-23,302004301384,대전광역시 유성구 전민로10번길,58,,3020014100103270023002680,,대전광역시 유성구 전민로10번길 58,305810,34052,,2,,127.40413006205,36.3989350130297
11929942,둘둘치킨상계점,상계점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11350,노원구,1135062400,중계4동,1135010600,중계동,1135010600101420045,1,대지,142,45,서울특별시 노원구 중계동 142-45,113504130392,서울특별시 노원구 한글비석로20길,25,,1135010600101420045009854,,서울특별시 노원구 한글비석로20길 25,139220,01662,,1,,127.073826035809,37.6603925969997
11930077,노량통닭신천점,신천점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11710,송파구,1171065000,잠실본동,1171010100,잠실동,1171010100101920012,1,대지,192,12,서울특별시 송파구 잠실동 192-12,117104169204,서울특별시 송파구 백제고분로7길,20,,1171010100101920012000564,,서울특별시 송파구 백제고분로7길 20,138220,05561,,1,,127.080997635039,37.5104966627785
11930113,BBQ치킨봉천1점,봉천1점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11620,관악구,1162057500,행운동,1162010100,봉천동,1162010100100360010,1,대지,36,10,서울특별시 관악구 봉천동 36-10,116204160016,서울특별시 관악구 관악로28길,11,,1162010100100360010031478,,서울특별시 관악구 관악로28길 11,151050,08735,,1,,126.956777794322,37.4853527633028
11930382,맥칸백암치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,45,전라북도,45140,익산시,4514040000,금마면,4514040021,금마면,4514040021108610001,1,대지,861,1,전라북도 익산시 금마면 동고도리 861-1,451404607150,전라북도 익산시 금마면 금마길,48,,4514040021108610001048934,이리상회,전라북도 익산시 금마면 금마길 48,570912,54572,,1,,127.052199890453,35.9908636476035
11930429,BHC치킨동부점,동부점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48310,거제시,4831032000,동부면,4831032022,동부면,4831032022103960000,1,대지,396,,경상남도 거제시 동부면 산양리 396,483103337003,경상남도 거제시 동부면 거제남서로,3084,,4831032022103960000000001,,경상남도 거제시 동부면 거제남서로 3084,656853,53331,,1,,128.607469899259,34.8235340183046
